ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
341,YCA03013,3,3,3,3,2,1,3,3,2,2,0
342,YCA03017,3,3,2,2,2,0,2,3,2,2,1
343,YCA03018,3,2,3,2,3,2,3,2,2,1,0
344,YCA04019,3,3,2,2,2,0,2,2,2,1,1
345,YCA04020,3,3,2,2,2,0,2,3,2,2,1
346,YCA04021,3,3,3,3,2,0,3,3,2,1,0
347,YCA04022,3,3,2,2,2,1,2,2,2,1,0
348,YCA04023,3,3,2,3,2,0,3,3,2,1,0
349,YCA04024,3,3,3,3,2,0,3,3,2,1,0
350,YCA05025,3,3,2,3,2,0,3,3,2,1,1
351,YCA05026,3,3,3,3,2,1,3,3,2,2,0
352,YCA05027,4,2,3,3,2,2,3,4,2,2,0
353,YCA05028,4,2,3,4,3,0,4,4,2,2,0
354,YCA05030,3,3,2,2,2,1,2,3,2,1,1
355,YCA06033,3,3,3,2,3,0,2,3,2,2,0
356,YCA06034,3,3,2,2,2,1,2,3,2,2,0
357,YCA06035,3,3,3,2,2,2,2,3,2,2,0
358,YCA06036,4,3,2,3,2,2,3,4,2,2,0
359,YCA07073,3,3,1,2,1,0,2,3,1,1,1
360,YCA07074,3,3,2,2,2,1,2,3,2,1,0
361,YCA07075,4,3,2,3,2,0,3,4,2,2,0
362,YCA07076,4,3,2,3,2,0,3,4,2,2,1
363,YCA07077,3,2,3,2,3,2,2,3,2,2,0
364,YCA07078,3,3,2,2,2,0,2,3,2,2,1
365,YCA08079,3,3,1,2,2,1,2,2,2,1,1
366,YCA08080,3,3,2,2,2,1,2,3,2,1,1
367,YCA08081,3,3,2,2,2,0,2,2,2,2,1
368,YCA08082,3,3,1,2,2,0,2,3,2,1,0
369,YCA08083,3,3,2,2,2,1,2,3,2,1,0
370,YCA08084,3,3,2,2,2,1,2,2,2,1,1
371,YCA09139,3,3,3,2,2,0,2,3,2,2,1
372,YCA10089,3,3,2,2,2,1,2,3,2,1,1
373,YCA11091,4,3,3,3,2,1,3,4,2,2,0
374,YCA11092,3,2,3,3,2,3,3,3,2,2,0
375,YCA11095,3,3,3,3,2,1,3,3,2,1,0
376,YCA11096,4,2,3,4,2,3,4,4,3,2,0
377,YCA12127,3,3,2,3,2,2,3,3,2,2,0
378,YCA12128,4,3,3,3,2,1,3,4,3,2,1
379,YCA12129,4,3,3,3,2,1,3,4,3,2,0
380,YCA12130,4,3,3,3,2,0,3,4,2,2,0
381,YCA12131,4,2,3,3,2,3,3,4,2,2,0
382,YCA12132,4,2,3,3,2,3,3,4,2,2,0
383,YCB01037,3,3,2,2,2,1,2,3,2,1,1
384,YCB01038,3,2,3,3,3,0,3,3,2,1,0
385,YCB01039,3,3,2,3,2,1,3,3,2,1,1
386,YCB01041,3,2,3,3,3,1,3,3,2,1,0
387,YCB01042,3,3,2,2,2,0,2,3,2,1,0
388,YCB02043,3,3,2,3,2,1,3,3,2,1,0
389,YCB02044,3,3,1,2,2,0,2,3,2,1,0
390,YCB02045,3,3,2,2,2,0,2,3,2,1,0
391,YCB02046,3,3,3,3,2,0,3,3,2,2,0
392,YCB02048,4,3,2,3,2,0,3,4,2,1,1
393,YCB03049,3,3,2,3,2,0,3,3,2,1,0
394,YCB03050,3,3,2,2,2,1,2,3,2,1,0
395,YCB03051,4,3,2,3,2,0,3,4,2,1,0
396,YCB03052,3,3,2,2,2,0,2,3,2,1,0
397,YCB03053,3,3,2,2,2,0,2,3,2,1,1
